transaction_id,timestamp,amount,payment_method,bank,device,city,status,failure_reason
16764,2026-09-03 08:21:16.673227,1231.53,UPI,HDFC,Android,Bangalore,SUCCESS,
18435,2026-09-03 08:21:17.673227,1493.26,UPI,ICICI,Android,Pune,SUCCESS,
1031,2026-09-03 08:21:18.673227,2063.2,UPI,HDFC,Android,Bangalore,FAILED,TIMEOUT
6086,2026-09-03 08:21:18.673227,453.68,UPI,AXIS,Android,Bangalore,SUCCESS,
23355,2026-09-03 08:21:20.673227,2964.97,NETBANKING,HDFC,iOS,Hyderabad,SUCCESS,
6619,2026-09-03 08:21:21.673227,1183.8,CARD,SBI,Android,Hyderabad,SUCCESS,
1538,2026-09-03 08:21:21.673227,3724.42,CARD,AXIS,Web,Bangalore,SUCCESS,
29831,2026-09-03 08:21:21.673227,271.12,UPI,SBI,Android,Bangalore,SUCCESS,
14538,2026-09-03 08:21:23.673227,2387.27,UPI,HDFC,Android,Pune,SUCCESS,
16714,2026-09-03 08:21:24.673227,2048.0,CARD,KOTAK,Android,Mumbai,SUCCESS,
39106,2026-09-03 08:21:26.673227,1087.82,UPI,AXIS,Web,Bangalore,SUCCESS,
38625,2026-09-03 08:21:27.673227,2901.74,CARD,AXIS,Web,Pune,SUCCESS,
7565,2026-09-03 08:21:29.673227,3576.48,CARD,HDFC,iOS,Mumbai,SUCCESS,
8426,2026-09-03 08:21:33.673227,1438.45,UPI,ICICI,Android,Delhi,SUCCESS,
32586,2026-09-03 08:21:35.673227,1171.61,UPI,KOTAK,iOS,Bangalore,SUCCESS,
31936,2026-09-03 08:21:35.673227,457.04,CARD,ICICI,Android,Bangalore,SUCCESS,
31978,2026-09-03 08:21:35.673227,1287.79,CARD,HDFC,Android,Mumbai,SUCCESS,
45153,2026-09-03 08:21:36.673227,2224.17,UPI,SBI,iOS,Delhi,SUCCESS,
1650,2026-09-03 08:21:36.673227,1551.37,NETBANKING,KOTAK,Web,Mumbai,SUCCESS,
42388,2026-09-03 08:21:37.673227,525.24,UPI,ICICI,Android,Bangalore,SUCCESS,
45314,2026-09-03 08:21:37.673227,758.61,UPI,AXIS,Web,Delhi,SUCCESS,
16794,2026-09-03 08:21:41.673227,1495.59,UPI,KOTAK,Android,Mumbai,SUCCESS,
9520,2026-09-03 08:21:42.673227,3700.65,UPI,AXIS,Android,Bangalore,SUCCESS,
7383,2026-09-03 08:21:43.673227,1228.95,NETBANKING,SBI,Web,Mumbai,SUCCESS,
9663,2026-09-03 08:21:45.673227,586.83,NETBANKING,KOTAK,iOS,Pune,SUCCESS,
31720,2026-09-03 08:21:50.673227,432.63,UPI,SBI,Web,Bangalore,SUCCESS,
39676,2026-09-03 08:21:51.673227,419.7,CARD,KOTAK,iOS,Hyderabad,SUCCESS,
8057,2026-09-03 08:21:53.673227,1146.5,NETBANKING,KOTAK,Android,Bangalore,SUCCESS,
1086,2026-09-03 08:21:53.673227,839.53,UPI,KOTAK,Android,Mumbai,SUCCESS,
4878,2026-09-03 08:21:54.673227,3031.83,WALLET,HDFC,Android,Pune,SUCCESS,
23290,2026-09-03 08:21:54.673227,1092.24,CARD,HDFC,iOS,Pune,SUCCESS,
42782,2026-09-03 08:21:55.673227,1528.39,NETBANKING,HDFC,iOS,Hyderabad,SUCCESS,
9562,2026-09-03 08:21:56.673227,3856.36,UPI,SBI,Android,Hyderabad,SUCCESS,
40293,2026-09-03 08:21:56.673227,1474.82,UPI,HDFC,Android,Bangalore,SUCCESS,
35980,2026-09-03 08:21:58.673227,1271.33,CARD,ICICI,iOS,Hyderabad,SUCCESS,
17493,2026-09-03 08:21:59.673227,1076.99,CARD,AXIS,Android,Delhi,SUCCESS,
12860,2026-09-03 08:21:59.673227,873.93,UPI,SBI,Web,Mumbai,SUCCESS,
1462,2026-09-03 08:22:01.673227,2282.7,NETBANKING,KOTAK,Android,Hyderabad,SUCCESS,
44543,2026-09-03 08:22:01.673227,268.82,CARD,HDFC,Web,Pune,SUCCESS,
22297,2026-09-03 08:22:04.673227,850.5,NETBANKING,ICICI,Web,Mumbai,SUCCESS,
30859,2026-09-03 08:22:07.673227,523.32,WALLET,ICICI,Web,Bangalore,SUCCESS,
2139,2026-09-03 08:22:07.673227,631.42,CARD,AXIS,iOS,Mumbai,SUCCESS,
94,2026-09-03 08:22:11.673227,1128.35,UPI,ICICI,Web,Delhi,SUCCESS,
35615,2026-09-03 08:22:12.673227,4365.78,NETBANKING,KOTAK,Android,Hyderabad,FAILED,TIMEOUT
35573,2026-09-03 08:22:19.673227,1662.9,CARD,AXIS,Android,Bangalore,SUCCESS,
686,2026-09-03 08:22:22.673227,1881.0,UPI,HDFC,Android,Bangalore,SUCCESS,
6084,2026-09-03 08:22:22.673227,1060.45,UPI,KOTAK,Android,Delhi,SUCCESS,
43054,2026-09-03 08:22:23.673227,664.21,UPI,KOTAK,Android,Pune,SUCCESS,
17826,2026-09-03 08:22:24.673227,543.82,CARD,SBI,Android,Pune,SUCCESS,
32338,2026-09-03 08:22:26.673227,1400.51,UPI,SBI,Android,Mumbai,SUCCESS,
17834,2026-09-03 08:22:28.673227,727.78,CARD,HDFC,Android,Bangalore,SUCCESS,
2541,2026-09-03 08:22:32.673227,1368.72,UPI,KOTAK,iOS,Pune,SUCCESS,
23805,2026-09-03 08:22:32.673227,1146.4,UPI,KOTAK,Android,Hyderabad,SUCCESS,
27292,2026-09-03 08:22:33.673227,1780.56,WALLET,HDFC,Web,Bangalore,SUCCESS,
12656,2026-09-03 08:22:39.673227,1844.51,UPI,AXIS,Android,Hyderabad,FAILED,TIMEOUT
40154,2026-09-03 08:22:40.673227,671.72,NETBANKING,ICICI,Web,Bangalore,SUCCESS,
3400,2026-09-03 08:22:40.673227,1110.68,WALLET,KOTAK,Android,Delhi,SUCCESS,
42692,2026-09-03 08:22:40.673227,1026.1,UPI,KOTAK,Android,Pune,SUCCESS,
12316,2026-09-03 08:22:46.673227,543.37,UPI,HDFC,Android,Bangalore,SUCCESS,
3583,2026-09-03 08:22:48.673227,232.52,NETBANKING,SBI,Android,Mumbai,SUCCESS,
15060,2026-09-03 08:22:48.673227,399.9,CARD,ICICI,iOS,Bangalore,SUCCESS,
19566,2026-09-03 08:22:48.673227,1047.79,WALLET,AXIS,iOS,Mumbai,SUCCESS,
28180,2026-09-03 08:22:49.673227,1036.97,CARD,AXIS,Android,Hyderabad,SUCCESS,
8575,2026-09-03 08:22:50.673227,824.17,CARD,ICICI,iOS,Bangalore,SUCCESS,
30804,2026-09-03 08:22:51.673227,430.17,UPI,HDFC,Android,Mumbai,SUCCESS,
37868,2026-09-03 08:22:51.673227,3334.3,NETBANKING,HDFC,Android,Pune,SUCCESS,
32462,2026-09-03 08:22:52.673227,1018.82,NETBANKING,ICICI,Web,Mumbai,SUCCESS,
24318,2026-09-03 08:22:56.673227,1015.56,NETBANKING,HDFC,Android,Pune,SUCCESS,
34987,2026-09-03 08:22:59.673227,1750.29,UPI,HDFC,Android,Pune,SUCCESS,
17883,2026-09-03 08:23:00.673227,1834.42,UPI,ICICI,iOS,Pune,SUCCESS,
42886,2026-09-03 08:23:00.673227,775.32,UPI,HDFC,Web,Delhi,SUCCESS,
33231,2026-09-03 08:23:05.673227,1207.77,CARD,KOTAK,Android,Delhi,SUCCESS,
18407,2026-09-03 08:23:07.673227,786.23,UPI,SBI,iOS,Pune,FAILED,TIMEOUT
23499,2026-09-03 08:23:09.673227,1222.23,CARD,SBI,Android,Bangalore,SUCCESS,
25396,2026-09-03 08:23:09.673227,464.56,UPI,AXIS,Web,Bangalore,SUCCESS,
37618,2026-09-03 08:23:10.673227,3722.29,UPI,SBI,iOS,Mumbai,SUCCESS,
16218,2026-09-03 08:23:10.673227,2918.79,UPI,HDFC,Web,Mumbai,SUCCESS,
39451,2026-09-03 08:23:11.673227,2066.1,UPI,AXIS,Android,Pune,SUCCESS,
43970,2026-09-03 08:23:11.673227,404.13,CARD,HDFC,Web,Mumbai,SUCCESS,
27691,2026-09-03 08:23:16.673227,1154.63,UPI,AXIS,iOS,Mumbai,SUCCESS,
32716,2026-09-03 08:23:17.673227,631.08,UPI,ICICI,Android,Mumbai,SUCCESS,
41194,2026-09-03 08:23:18.673227,3429.64,UPI,KOTAK,iOS,Bangalore,SUCCESS,
33620,2026-09-03 08:23:18.673227,1568.52,NETBANKING,SBI,Android,Bangalore,SUCCESS,
49891,2026-09-03 08:23:20.673227,6278.46,UPI,SBI,iOS,Delhi,SUCCESS,
2128,2026-09-03 08:23:21.673227,4756.69,UPI,KOTAK,Android,Delhi,SUCCESS,
17733,2026-09-03 08:23:23.673227,1180.69,CARD,KOTAK,iOS,Hyderabad,SUCCESS,
44315,2026-09-03 08:23:27.673227,4588.15,UPI,HDFC,iOS,Hyderabad,SUCCESS,
28000,2026-09-03 08:23:29.673227,991.86,UPI,KOTAK,iOS,Mumbai,SUCCESS,
